Country,Animal fats,"Aquatic Products, Other",Cereals - Excluding Beer,Eggs,"Fish, Seafood",Meat,Miscellaneous,Milk - Excluding Butter,Vegetable Oils,Vegetables,Obesity,Undernourished,Confirmed,Deaths,Recovered,Active,Population,Unit (all except Population),,,,,
Kiribati,0.7467,0,1.956,0.265,3.0833,6.1955,0.0434,0.2553,7.2939,0.1397,45.6,2.7,NA,NA,NA,NA,125000,%,,,,,
"Korea, North",0.0262,0,7.2234,1.6911,0.5375,8.7179,0.0131,0.4195,27.5957,1.0357,7.1,47.8,NA,NA,NA,NA,25779000,%,,,,,
"Korea, South",4.2523,0.0511,1.8403,1.3524,1.9147,11.186,0,1.1386,23.7197,0.6924,4.9,<2.5,0.156227188,0.00284081,0.136855217,0.01653116,51781000,%,,,,,
Kuwait,2.1588,0,3.0847,2.3242,0.3732,9.5706,0.1086,5.2766,21.215,0.5055,37,2.8,3.624728203,0.020549989,3.434086549,0.170091665,4691000,%,,,,,
Kyrgyzstan,3.4472,0,4.0964,0.8655,0.0895,10.1776,0.0448,14.2068,11.461,0.7163,15.4,7.1,1.28892933,0.021580224,1.236609039,0.030740067,6594000,%,,,,,
Lao People's Democratic Republic,3.9594,0,9.0989,0.4974,1.6871,15.0283,0.0878,0.2243,9.762,1.1118,4.5,16.5,0.000621375,0,0.000566142,5.52E-05,7242000,%,,,,,
Latvia,10.443,0,1.5314,1.343,0.8819,9.7976,0.0361,7.8613,13.7943,0.2606,25.7,<2.5,3.749737119,0.069768665,3.122975815,0.556992639,1902000,%,,,,,
Lebanon,2.1637,0,2.253,0.329,0.3681,5.1361,0.039,4.3553,27.4593,0.3736,31.3,11,4.656937729,0.052190476,2.947062271,1.657684982,6825000,%,,,,,
Lesotho,0.529,0,18.3763,0.2415,0.253,9.1881,0.046,2.4149,16.3523,0.1725,13.5,13.1,0.437908497,0.008543417,0.126330532,0.303034547,2142000,%,,,,,
Liberia,0.4154,0,3.3592,0.2528,0.3702,6.0051,0.0361,0.2438,36.4186,0.1896,8.6,37.2,0.038671412,0.001660735,0.034994069,0.002016607,5058000,%,,,,,
Lithuania,9.388,0,1.7819,1.9226,1.238,14.2134,0.0094,5.4302,12.7128,0.2579,28.4,<2.5,6.667072298,0.1047602,4.939620616,1.622691482,2794000,%,,,,,
Luxembourg,6.4786,0,1.8437,1.6645,0.6987,16.3118,0.0658,7.2286,10.6855,0.2634,24.2,<2.5,8.150632911,0.09335443,7.661550633,0.395727848,632000,%,,,,,
Madagascar,1.7454,0,10.0681,0.3406,0.745,11.5581,0.0213,4.4274,15.8791,0.1916,4.5,44.4,0.068849085,0.00101477,0.065779495,0.002054819,27691000,%,,,,,
Malawi,2.6263,0,13.0891,0.2753,0.6672,14.6458,0.0106,0.4024,8.4189,0.2224,4.7,17.5,0.140486147,0.004375327,0.059320439,0.076790382,19130000,%,,,,,
Malaysia,1.4813,0,2.2933,2.7596,1.8599,9.8041,0.0713,1.2289,27.174,0.2359,15.3,2.5,0.728229767,0.002614319,0.57036088,0.155254568,32781000,%,,,,,
Maldives,4.8409,0,4.5092,3.2756,8.4068,5.836,0.4561,7.3909,4.9549,0.5183,7.9,10.3,3.078743068,0.009981516,2.690573013,0.37818854,541000,%,,,,,
Mali,1.2195,0,12.0873,0.1327,0.4065,5.6745,0.0249,9.7146,14.1945,0.3816,7.1,6.3,0.040294306,0.001669053,0.02989482,0.008730433,20251000,%,,,,,
Malta,6.6557,0,4.8786,1.3878,1.3074,10.6541,0.0169,9.3298,9.3975,0.5162,31,<2.5,3.55862069,0.053448276,3.045210728,0.459961686,522000,%,,,,,
Mauritania,1.7485,0,4.3092,0.4337,0.5369,5.7479,0.0688,8.646,26.9567,0.1514,11.3,10.4,0.36111828,0.009139785,0.343763441,0.008215054,4650000,%,,,,,
Mauritius,1.4559,0,3.2471,0.7355,1.0457,6.7594,0.1001,2.8418,29.9945,0.1751,11.5,6.5,0.046166008,0.000790514,0.042687747,0.002687747,1265000,%,,,,,
Mexico,3.2525,0,6.4604,2.2807,0.4661,13.2133,0.005,4.3433,16.3419,0.2429,28.4,3.6,1.507199199,0.129731126,1.159804996,0.217663078,127792000,%,,,,,
Mongolia,5.5153,0,2.7445,0.593,0.0315,21.0223,0.0525,9.0628,8.2231,0.1417,19.6,13.4,0.06019042,5.95E-05,0.043112169,0.017018744,3361000,%,,,,,
Montenegro,3.8887,0,3.7312,1.1566,0.3473,14.7778,0.1003,12.5363,8.6332,0.2578,24.9,<2.5,10.40819936,0.134405145,9.039871383,1.23392283,622000,%,,,,,
Morocco,3.5807,0,7.1539,1.1517,1.2329,6.9989,0.0074,2.2296,22.9457,0.2953,25.6,3.4,1.321111482,0.023311638,1.2625751,0.035224744,35952000,%,,,,,
Mozambique,1.1197,0,8.8101,0.5537,0.849,6.8783,0.0369,2.0795,25.5199,0.16,6,27.9,0.141538856,0.00144709,0.085959058,0.054132709,31166000,%,,,,,
